ativo,data,valor_fechamento,valor_abertura,valor_maximo,valor_minimo,variacao_percentual,volume_negociado
PGMN3,2025-09-26,3.61,3.6,3.63,3.51,0.0084,1110000
PGMN3,2025-09-25,3.58,3.58,3.63,3.55,0,1400000
PGMN3,2025-09-24,3.58,3.68,3.69,3.57,-1.92,1830000
PGMN3,2025-09-23,3.65,3.58,3.67,3.58,0.0224,1130000
PGMN3,2025-09-22,3.57,3.66,3.66,3.55,-1.11,1380000
PGMN3,2025-09-19,3.61,3.65,3.69,3.57,-0.82,2190000
PGMN3,2025-09-18,3.64,3.65,3.72,3.58,-0.27,1340000
PGMN3,2025-09-17,3.65,3.6,3.69,3.56,0.0224,1760000
PGMN3,2025-09-16,3.57,3.65,3.71,3.55,-2.19,1560000
PGMN3,2025-09-15,3.65,3.72,3.79,3.64,-4.45,1460000
PGMN3,2025-09-12,3.82,3.92,3.97,3.77,-4.02,1220000
PGMN3,2025-09-11,3.98,3.86,3.99,3.86,0.0258,614900
PGMN3,2025-09-10,3.88,3.88,3.95,3.86,-0.26,687300
PGMN3,2025-09-09,3.89,3.78,3.9,3.78,0.0237,719200
PGMN3,2025-09-08,3.8,3.85,3.86,3.76,-0.78,879000
PGMN3,2025-09-05,3.83,3.82,3.87,3.76,0.0132,1560000
PGMN3,2025-09-04,3.78,3.65,3.92,3.63,0.0559,3050000
PGMN3,2025-09-03,3.58,3.54,3.61,3.52,0.0028,1550000
PGMN3,2025-09-02,3.57,3.54,3.6,3.44,0.0085,1830000
PGMN3,2025-09-01,3.54,3.66,3.66,3.53,-2.21,2200000
PGMN3,2025-08-29,3.62,3.8,3.94,3.6,-3.72,5780000
PGMN3,2025-08-28,3.76,3.7,3.84,3.68,0.0273,1180000
PGMN3,2025-08-27,3.66,3.58,3.7,3.57,0.0167,414400
PGMN3,2025-08-26,3.6,3.63,3.69,3.59,-1.37,500100
PGMN3,2025-08-25,3.65,3.72,3.75,3.63,-1.35,677800
PGMN3,2025-08-22,3.7,3.57,3.7,3.57,0.0393,524100
PGMN3,2025-08-21,3.56,3.57,3.58,3.51,-0.56,844700
PGMN3,2025-08-20,3.58,3.56,3.61,3.54,0,498800
PGMN3,2025-08-19,3.58,3.64,3.66,3.57,-2.72,570800
PGMN3,2025-08-18,3.68,3.65,3.71,3.62,0.0138,406600
PGMN3,2025-08-15,3.63,3.59,3.65,3.53,0.014,779800
PGMN3,2025-08-14,3.58,3.68,3.7,3.58,-2.72,897600
PGMN3,2025-08-13,3.68,3.77,3.78,3.64,-2.65,783400
PGMN3,2025-08-12,3.78,3.77,3.81,3.69,0.0053,934000
PGMN3,2025-08-11,3.76,3.71,3.87,3.71,-1.57,657800
PGMN3,2025-08-08,3.82,3.94,3.96,3.81,-2.3,630000
PGMN3,2025-08-07,3.91,3.94,4.02,3.86,-0.51,841600
PGMN3,2025-08-06,3.93,3.92,3.98,3.85,0.0155,976400
PGMN3,2025-08-05,3.87,4.07,4.1,3.72,-0.77,3380000
PGMN3,2025-08-04,3.9,3.99,4.01,3.85,-0.51,952700
PGMN3,2025-08-01,3.92,3.89,3.99,3.84,-0.25,1870000
PGMN3,2025-07-31,3.93,3.58,3.93,3.57,0.0767,2750000
PGMN3,2025-07-30,3.65,3.51,3.7,3.5,0.0224,1140000
PGMN3,2025-07-29,3.57,3.45,3.57,3.45,0.02,1570000
PGMN3,2025-07-28,3.5,3.43,3.51,3.34,0.0057,775300
PGMN3,2025-07-25,3.48,3.46,3.54,3.45,0.0058,276200
PGMN3,2025-07-24,3.46,3.48,3.54,3.46,-2.54,395100
PGMN3,2025-07-23,3.55,3.52,3.57,3.44,0.0057,608800
PGMN3,2025-07-22,3.53,3.41,3.59,3.41,0.0262,1340000
PGMN3,2025-07-21,3.44,3.39,3.45,3.39,0.0088,481200
PGMN3,2025-07-18,3.41,3.47,3.47,3.36,-1.73,796800
PGMN3,2025-07-17,3.47,3.44,3.47,3.38,0.0087,921100
PGMN3,2025-07-16,3.44,3.29,3.44,3.29,0.033,1010000
PGMN3,2025-07-15,3.33,3.27,3.33,3.27,0.0278,863400
PGMN3,2025-07-14,3.24,3.31,3.34,3.24,-2.99,996300
PGMN3,2025-07-11,3.34,3.37,3.37,3.3,-1.18,676500
PGMN3,2025-07-10,3.38,3.38,3.4,3.32,0,481000
PGMN3,2025-07-09,3.38,3.38,3.43,3.34,-0.88,615000
PGMN3,2025-07-08,3.41,3.36,3.43,3.31,0.0271,1990000
PGMN3,2025-07-07,3.32,3.39,3.39,3.29,-2.06,1360000
